Site,Plot,Horizon,sample.wt.g,sand.per,clay.per,silt.per
Pk Mtn 9016,Plot 1,H2,45.57302146,25.94,41.94,32.12
Pk Mtn 9016,Plot 1,H3,40.61442772,24.77,38.44,36.79
Pk Mtn 9016,Plot 1,H4,52.40902557,50.71,19.08,30.21
Pk Mtn 9016,Plot 2,H1,40.28774692,36.69,11.36,51.95
Pk Mtn 9016,Plot 2,H2,54.24902129,13.57,31.28,55.15
Pk Mtn 9016,Plot 2,H3,42.5965409,28.67,33.26,38.07
Pk Mtn 9016,Plot 2,H4,43.648163,28.58,22.77,48.65
SDC 7326,Plot 1,H1,47.65018072,30.6,18.18,51.21
SDC 7326,Plot 1,H2,56.3547114,21.08,30.41,48.51
SDC 7326,Plot 1,H3,43.73364186,28.61,26.1,45.29
SDC 7326,Plot 1,H4,55.56028251,27.25,26.93,45.82
SDC 7326,Plot 2,H1,57.6269448,51.98,8.34,39.68
SDC 7326,Plot 2,H2,51.704,42.25,21.72,36.03
SDC 7326,Plot 2,H3,45.03107732,44.01,13.74,42.25
SDC 7326,Plot 2,H4,56.13127711,52.5,23.15,24.36
SDC 7326,Plot 2,H5,47.31312458,25.02,31.83,43.15
SDC 7326 Rd,Plot 1,H1,48.51952507,66.01,8.88,25.11
SDC 7326 Rd,Plot 1,H2,44.80325383,63.17,12.22,24.61
SDC 7326 Rd,Plot 2,H1,42.97611346,44.16,32.04,23.81
SDC 7326 Rd,Plot 2,H2,39.49541516,5.27,42.9,51.84
SDC 7326 Rd,Plot 2,H4,47.93186558,7.69,53.22,39.09
SWR 6003,Plot 1,H1,58.65354216,71.02,1.67,27.31
SWR 6003,Plot 1,H2,113.3849326,57.38,17.83,24.79
SWR 6003,Plot 1,H3,40.37491691,9.82,35.48,54.7
SWR 6003,Plot 1,H4,85.23333333,59.01,13.32,27.67
SWR 6003,Plot 2,H1,51.82901345,40.04,28.52,31.44
SWR 6003,Plot 2,H3,44.21697164,35.32,12.81,51.87
