"","grav.moist","tin.wt","tin.samp.wt","tin.samp.oven.wt","subsamp.wt","site","plot","horizon","subsamp.oven.wt","sand","silt","clay"
"212","3.1055900621118019E-2","29.26","54.16","53.41","49.13","SDC 7326","SDC 7326 Plot 1","h1","47.650180722891569","30.604253551953519","52.143534231450417","17.252212216596067"
"213","3.9487179487179655E-2","30.51","50.78","50.01","58.58","SDC 7326","SDC 7326 Plot 1","h2","56.354711396151941","21.080469764744848","48.512324141004839","30.407206094250313"
"214","4.9115314215985341E-2","30.81","65.2","63.59","45.35","Fed 30-16","Fed 30-16 Plot 2","h2","43.226897353881945","38.376168450622686","28.340796671117431","33.283034878259883"
"215","2.3653088042050133E-2","30.54","61.7","60.98","58.99","SDC 7326","SDC 7326 Plot 2","h1","57.626944801026944","51.978662106965217","39.684743458780531","8.3365944342542537"
"216","2.1501586182587223E-2","30.46","59.44","58.83","57.78","DTU 1022","DTU 1022 Plot 2","h4","56.563788819875782","40.454770745238825","33.480861690195574","26.0643675645656"
"217","2.4815560026827617E-2","30.64","76.48","75.37","46.2","DTU 1022","DTU 1022 Plot 2","h1","45.081282722513095","36.199335406538758","54.370418248172925","9.4302463452883192"
"218","3.9196940726577569E-2","30.49","63.1","61.87","42.74","Fed 30-16","Fed 30-16 Plot 1","h3","41.127911683532659","16.03108439594746","53.143073205064525","30.825842398988016"
"219","5.317381189764022E-2","30.54","62.23","60.63","42.43","Pk Mtn 9016","Pk Mtn 9016 Plot 2","h1","40.287746923319666","36.689455468773858","51.95033140976583","11.36021312146031"
"220","7.444852941176458E-2","30.29","77.05","73.81","47.47","Fed 30-16","Fed 30-16 Plot 2","h1","44.180804106073573","45.716499133994581","38.874189117732335","15.409311748273085"
"221","2.5858015984955542E-2","29.42","73.06","71.959999999999994","44.38","Cities Fed 07 31","Cities Fed 07 31 Plot 1","h1","43.261347387717684","28.399016146705833","46.786388710568033","24.814595142726137"
"222","7.8947368421050258E-3","30.24","57.05","56.84","53.65","DTU 1058","DTU 1058 Plot 1","h2","53.229765013054845","75.74506390622588","16.798903250813012","7.4560328429611058"
"223","6.4946361264134805E-2","30.7","67.430000000000007","65.19","50.66","Fed 30-16","Fed 30-16 Plot 1","h1","47.570471004628352","51.256412255839535","36.644349012316404","12.099238731844062"
"246","3.5853468433359195E-2","29.32","69.19","67.81","48.92","DTU 1058","DTU 1058 Plot 1","h3","47.226756960120404","69.761339468876798","22.397751187884243","7.8409093432389598"
"247","4.8522699975978772E-2","29.42","73.069999999999993","71.05","44.03","DTU 1058","DTU 1058 Plot 1","h4","41.992414662084776","76.039767707979493","14.434702426238276","9.5255298657822269"
"248","3.9778284969025066E-2","29.25","61.14","59.92","42.23","Pk Mtn 9016","Pk Mtn 9016 Plot 1","h3","40.614427720288489","24.774266296333991","36.785264531027721","38.440469172638288"
